EntrezGene ID,HGNC symbol
4535,MT-ND1
4536,MT-ND2
4512,MT-CO1
4513,MT-CO2
4509,MT-ATP8
4508,MT-ATP6
4514,MT-CO3
4537,MT-ND3
4539,MT-ND4L
4538,MT-ND4
4540,MT-ND5
4541,MT-ND6
4519,MT-CYB
100506791,LINC01511
101930748,HNRNPA1P30
85455,DISP2
101927503,
148170,CDC42EP5
1565,CYP2D6
101929829,CYP2D6
115653,KIR3DL3
115761,ARL11
645426,TMEM191B
728229,TMEM191B
8705,B3GALT4
27111,SDCBP2
100505570,
100505570,
100506084,ARL17B
122183,PRR20D
729233,PRR20D
729240,PRR20D
729246,PRR20D
729250,PRR20D
101927534,
101927554,LINC01250
3483,IGFALS
3705,ITPK1
30834,ZNRD1
5009,OTC
54149,C21orf91
53820,RIPPLY3
128821,CST9L
25878,MXRA5
9962,SLC23A2
3119,HLA-DQB1
23384,SPECC1L
79258,MMEL1
4849,CNOT3
8106,PABPN1
2897,GRIK1
10815,CPLX1
939,CD27
1417,CRYBB3
80333,KCNIP4
100862704,LINC00441
90864,SPSB3
115653,KIR3DL3
4700,NDUFA6
10288,LILRB2
293,SLC25A6
100505887,
22919,MAPRE1
285834,HCG22
101929148,
1797,DXO
440023,KRTAP5-6
8239,USP9X
84672,TTTY6
441543,TTTY6
6843,VAMP1
8392,OR3A3
138724,C9orf131
399726,CASC10
101929351,CDC37L1-AS1
79166,LILRP2
55667,DENND4C
10,NAT2
2177,FANCD2
3802,KIR2DL1
9808,KIAA0087
101929472,
151449,GDF7
7965,AIMP2
401232,LINC01011
246312,C21orf91-OT1
79166,LILRP2
3806,KIR2DS1
1607,DGKB
3808,KIR2DS3
100507362,LINC01015
10566,AKAP3
126567,C2CD4C
347404,LANCL3
115653,KIR3DL3
553128,KIR2DL5A
6449,SGTA
6238,RRBP1
3804,KIR2DL3
203076,C8orf74
56246,MRAP
161253,REM2
134218,DNAJC21
388325,SCIMP
6002,RGS12
8029,CUBN
23786,BCL2L13
100505753,KRTAP16-1
3805,KIR2DL4
80000,GREB1L
105,ADARB2
392307,FAM221B
4835,NQO2
8736,MYOM1
51569,UFM1
3118,HLA-DQA2
221545,C6orf136
102724323,
49856,WRAP73
79742,CXorf36
3845,KRAS
81282,OR51G2
401993,OR2T5
440952,EIF1B-AS1
153562,MARVELD2
256892,OR51F1
5696,PSMB8
126541,OR10H4
27240,SIT1
3813,KIR3DS1
55450,CAMK2N1
3805,KIR2DL4
255252,LRRC57
240,ALOX5
8547,FCN3
3113,HLA-DPA1
496,ATP4B
2023,ENO1
27102,EIF2AK1
100507436,MICA
441871,PRAMEF7
266722,HS6ST3
22893,BAHD1
140467,ZNF358
119692,OR51S1
101929464,
401667,OR51A2
644623,TPTE2P2
29092,LINC00339
5170,PDPK1
101929406,
144360,LINC00477
23503,ZFYVE26
5137,PDE1C
9390,SLC22A13
54829,ASPN
343068,PRAMEF5
55846,ITFG2
100507424,ITFG2
85359,DGCR6L
84326,C16orf13
9014,TAF1B
25853,DCAF12
55872,PBK
284029,LINC00324
3985,LIMK2
286451,YIPF6
55506,H2AFY2
64283,ARHGEF28
101929855,
102724851,
100270679,LINC01432
